,loss,acc,val_loss,val_acc
0,0.6911745071411133,0.5260000228881836,0.6717002987861633,0.5889999866485596
1,0.6637444496154785,0.6014999747276306,0.6411994695663452,0.6520000100135803
2,0.6200568675994873,0.6485000252723694,0.611707866191864,0.6690000295639038
3,0.5710235238075256,0.7064999938011169,0.6415624022483826,0.6290000081062317
4,0.5405692458152771,0.7289999723434448,0.5879437923431396,0.6859999895095825
5,0.5088769197463989,0.753000020980835,0.6048313975334167,0.6710000038146973
6,0.47681519389152527,0.765999972820282,0.5769374966621399,0.6949999928474426
7,0.45394232869148254,0.7839999794960022,0.5697889924049377,0.699999988079071
8,0.42246586084365845,0.8044999837875366,0.5453328490257263,0.7149999737739563
9,0.39947694540023804,0.8184999823570251,0.5752590894699097,0.7099999785423279
10,0.36628031730651855,0.8374999761581421,0.6024141907691956,0.6959999799728394
11,0.3417813777923584,0.8579999804496765,0.5730780363082886,0.7210000157356262
12,0.3174668550491333,0.8640000224113464,0.5853958129882812,0.7229999899864197
13,0.29163113236427307,0.878000020980835,0.6148578524589539,0.7250000238418579
14,0.2611183226108551,0.902999997138977,0.6434719562530518,0.7099999785423279
15,0.24462997913360596,0.9089999794960022,0.6836857795715332,0.7120000123977661
16,0.21519209444522858,0.9125000238418579,0.6679945588111877,0.7269999980926514
17,0.19775095582008362,0.9265000224113464,0.6958998441696167,0.7139999866485596
18,0.1791195422410965,0.9340000152587891,0.6828669309616089,0.7269999980926514
19,0.15934520959854126,0.9394999742507935,0.6962785124778748,0.7210000157356262
